id;period_from;period_to;data_entry_file;data_entry_file_content_type;upload_successful;upload_processed;entries_count;file_token
1;2019-07-30T05:40:01;2019-07-29T19:32:20;436f6d70757465722050726163746963616c2046726573682050616e7473;image/png;true;false;70807;Movies Producer
2;2019-07-29T18:40:39;2019-07-29T16:07:51;536f6170206d6574686f646f6c6f677920416c62616e6961;image/png;false;false;29122;Investment Account Steel
3;2019-07-30T07:38:40;2019-07-29T15:17:09;677265792043616d6272696467657368697265;image/png;true;false;4645;Credit Card Account Table Small Frozen Sausages
4;2019-07-29T15:28:51;2019-07-30T01:08:13;696e666f6d6564696172696573;image/png;false;true;49517;Games Regional Digitized
5;2019-07-29T22:45:20;2019-07-29T20:31:38;4d61796f747465;image/png;false;false;96958;connect Markets Chief
6;2019-07-30T00:18:23;2019-07-29T21:12:05;736f667477617265207363616c6520696e746572616374697665;image/png;true;true;35675;mission-critical Faroe Islands Plastic
7;2019-07-29T19:24:12;2019-07-30T10:41:22;696e646578206f72616e6765;image/png;false;false;81546;monitor
8;2019-07-29T21:09:35;2019-07-29T19:41:30;494220496e766573746d656e74204163636f756e742061726368697665;image/png;false;false;31098;moratorium pixel withdrawal
9;2019-07-29T17:21:46;2019-07-30T01:11:10;73796e74686573697a6520496461686f20636f6d7072657373;image/png;false;false;52273;partnerships Grocery Intelligent
10;2019-07-30T13:54:05;2019-07-29T17:09:28;436f72706f72617465205068617365642072656c6174696f6e7368697073;image/png;true;false;22879;Generic neutral Salad
